2024-02-01 16:02:289 INFO  HomePage :60 - Clicking on header Blog : [[[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (c0020be4895b6979a471ccf435e3ee35)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:308 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:134 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:404 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:637 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //img[@alt='Virgin Games']]
2024-02-01 16:02:74 INFO  HomePage :60 - Clicking on header Online Slots : [[[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1affabeacf868a7f21292315ad7af1a6)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:89 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:135 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:908 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:984 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //img[@alt='Virgin Games']]
2024-02-01 16:02:829 INFO  HomePage :60 - Clicking on header Live Casino : [[[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (4943772bc16803fd61fe325dc62fc4fa)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 16:02:848 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:906 INFO  HomePage :46 - Verifying redirected page URL
2024-02-01 16:02:48 INFO  HomePage :53 - Clicking accept cookies: [[ChromeDriver: chrome on windows (b14889ae3a5ba4bdb88f8e277e1a9b50)] -> css selector: label[for='privacy_pref_optin']]
2024-02-01 16:02:117 INFO  HomePage :67 - Verifying Virgin Games Logo : [[ChromeDriver: chrome on windows (b14889ae3a5ba4bdb88f8e277e1a9b50)] -> xpath: //img[@alt='Virgin Games']]
